Period,Release,Studio,Count,Box Office
"1","May 2000","Warner Bros. Pictures","0","0"
"1","May 2000","20th Century Fox","0","0"
"1","May 2000","Universal Pictures","0","0"
"1","May 2000","Walt Disney Pictures","0","0"
"1","May 2000","Paramount Pictures","0","0"
"1","May 2000","Sony Pictures","0","0"
"1","May 2000","New Line Cinema","0","0"
"1","May 2000","Columbia Pictures","0","0"
"1","May 2000","Buena Vista","1","135.6"
"1","May 2000","Lionsgate Films","0","0"
"2","Jun 2000","Warner Bros. Pictures","0","0"
"2","Jun 2000","20th Century Fox","2","1.1"
"2","Jun 2000","Universal Pictures","1","0.4"
"2","Jun 2000","Walt Disney Pictures","0","0"
"2","Jun 2000","Paramount Pictures","1","70.3"
"2","Jun 2000","Sony Pictures","0","0"
"2","Jun 2000","New Line Cinema","0","0"
"2","Jun 2000","Columbia Pictures","1","2.3"
"2","Jun 2000","Buena Vista","1","135.6"
"2","Jun 2000","Lionsgate Films","0","0"
"3","Jul 2000","Warner Bros. Pictures","0","0"
"3","Jul 2000","20th Century Fox","3","157.3"
"3","Jul 2000","Universal Pictures","2","122.8"
"3","Jul 2000","Walt Disney Pictures","0","0"
"3","Jul 2000","Paramount Pictures","1","70.3"
"3","Jul 2000","Sony Pictures","0","0"
"3","Jul 2000","New Line Cinema","0","0"
"3","Jul 2000","Columbia Pictures","1","2.3"
"3","Jul 2000","Buena Vista","1","135.6"
"3","Jul 2000","Lionsgate Films","0","0"
"4","Aug 2000","Warner Bros. Pictures","3","162.9"
"4","Aug 2000","20th Century Fox","3","157.3"
"4","Aug 2000","Universal Pictures","3","190.7"
"4","Aug 2000","Walt Disney Pictures","0","0"
"4","Aug 2000","Paramount Pictures","3","136.1"
"4","Aug 2000","Sony Pictures","0","0"
"4","Aug 2000","New Line Cinema","1","60"
"4","Aug 2000","Columbia Pictures","2","74.4"
"4","Aug 2000","Buena Vista","2","195.4"
"4","Aug 2000","Lionsgate Films","0","0"
"5","Sep 2000","Warner Bros. Pictures","4","177.8"
"5","Sep 2000","20th Century Fox","3","157.3"
"5","Sep 2000","Universal Pictures","4","219.3"
"5","Sep 2000","Walt Disney Pictures","1","114.3"
"5","Sep 2000","Paramount Pictures","3","136.1"
"5","Sep 2000","Sony Pictures","0","0"
"5","Sep 2000","New Line Cinema","2","60.7"
"5","Sep 2000","Columbia Pictures","2","74.4"
"5","Sep 2000","Buena Vista","2","195.4"
"5","Sep 2000","Lionsgate Films","0","0"
"6","Oct 2000","Warner Bros. Pictures","7","241.8"
"6","Oct 2000","20th Century Fox","5","203.3"
"6","Oct 2000","Universal Pictures","5","383.8"
"6","Oct 2000","Walt Disney Pictures","1","114.3"
"6","Oct 2000","Paramount Pictures","5","159.0"
"6","Oct 2000","Sony Pictures","0","0"
"6","Oct 2000","New Line Cinema","5","92.4"
"6","Oct 2000","Columbia Pictures","2","74.4"
"6","Oct 2000","Buena Vista","2","195.4"
"6","Oct 2000","Lionsgate Films","0","0"
"7","Nov 2000","Warner Bros. Pictures","7","241.8"
"7","Nov 2000","20th Century Fox","6","249.5"
"7","Nov 2000","Universal Pictures","6","642.8"
"7","Nov 2000","Walt Disney Pictures","1","114.3"
"7","Nov 2000","Paramount Pictures","5","159.0"
"7","Nov 2000","Sony Pictures","0","0"
"7","Nov 2000","New Line Cinema","6","130.9"
"7","Nov 2000","Columbia Pictures","4","232.6"
"7","Nov 2000","Buena Vista","2","195.4"
"7","Nov 2000","Lionsgate Films","0","0"
"8","Dec 2000","Warner Bros. Pictures","9","378.5"
"8","Dec 2000","20th Century Fox","8","298.8"
"8","Dec 2000","Universal Pictures","7","716.5"
"8","Dec 2000","Walt Disney Pictures","1","114.3"
"8","Dec 2000","Paramount Pictures","6","340.5"
"8","Dec 2000","Sony Pictures","0","0"
"8","Dec 2000","New Line Cinema","7","145.7"
"8","Dec 2000","Columbia Pictures","5","300.4"
"8","Dec 2000","Buena Vista","2","195.4"
"8","Dec 2000","Lionsgate Films","0","0"
"9","Jan 2001","Warner Bros. Pictures","10","397.4"
"9","Jan 2001","20th Century Fox","8","298.8"
"9","Jan 2001","Universal Pictures","7","716.5"
"9","Jan 2001","Walt Disney Pictures","1","114.3"
"9","Jan 2001","Paramount Pictures","6","340.5"
"9","Jan 2001","Sony Pictures","0","0"
"9","Jan 2001","New Line Cinema","9","191.2"
"9","Jan 2001","Columbia Pictures","7","381.9"
"9","Jan 2001","Buena Vista","2","195.4"
"9","Jan 2001","Lionsgate Films","0","0"
"10","Feb 2001","Warner Bros. Pictures","12","441.6"
"10","Feb 2001","20th Century Fox","9","303.7"
"10","Feb 2001","Universal Pictures","8","726.4"
"10","Feb 2001","Walt Disney Pictures","1","114.3"
"10","Feb 2001","Paramount Pictures","7","403.6"
"10","Feb 2001","Sony Pictures","0","0"
"10","Feb 2001","New Line Cinema","9","191.2"
"10","Feb 2001","Columbia Pictures","8","400.9"
"10","Feb 2001","Buena Vista","3","240.6"
"10","Feb 2001","Lionsgate Films","0","0"
"11","Mar 2001","Warner Bros. Pictures","12","441.6"
"11","Mar 2001","20th Century Fox","11","335.2"
"11","Mar 2001","Universal Pictures","8","726.4"
"11","Mar 2001","Walt Disney Pictures","1","114.3"
"11","Mar 2001","Paramount Pictures","8","454.1"
"11","Mar 2001","Sony Pictures","0","0"
"11","Mar 2001","New Line Cinema","10","215.4"
"11","Mar 2001","Columbia Pictures","8","400.9"
"11","Mar 2001","Buena Vista","3","240.6"
"11","Mar 2001","Lionsgate Films","0","0"
"12","Apr 2001","Warner Bros. Pictures","13","474.0"
"12","Apr 2001","20th Century Fox","12","348.9"
"12","Apr 2001","Universal Pictures","9","740.5"
"12","Apr 2001","Walt Disney Pictures","1","114.3"
"12","Apr 2001","Paramount Pictures","9","527.7"
"12","Apr 2001","Sony Pictures","0","0"
"12","Apr 2001","New Line Cinema","12","274.5"
"12","Apr 2001","Columbia Pictures","9","428.0"
"12","Apr 2001","Buena Vista","3","240.6"
"12","Apr 2001","Lionsgate Films","0","0"
"13","May 2001","Warner Bros. Pictures","13","474.0"
"13","May 2001","20th Century Fox","12","348.9"
"13","May 2001","Universal Pictures","10","941.2"
"13","May 2001","Walt Disney Pictures","1","114.3"
"13","May 2001","Paramount Pictures","9","527.7"
"13","May 2001","Sony Pictures","0","0"
"13","May 2001","New Line Cinema","12","274.5"
"13","May 2001","Columbia Pictures","11","496.1"
"13","May 2001","Buena Vista","3","240.6"
"13","May 2001","Lionsgate Films","0","0"
"14","Jun 2001","Warner Bros. Pictures","14","542.8"
"14","Jun 2001","20th Century Fox","14","515.5"
"14","Jun 2001","Universal Pictures","11","1083.7"
"14","Jun 2001","Walt Disney Pictures","2","197.9"
"14","Jun 2001","Paramount Pictures","11","660.0"
"14","Jun 2001","Sony Pictures","0","0"
"14","Jun 2001","New Line Cinema","12","274.5"
"14","Jun 2001","Columbia Pictures","13","578.3"
"14","Jun 2001","Buena Vista","3","240.6"
"14","Jun 2001","Lionsgate Films","0","0"
"15","Jul 2001","Warner Bros. Pictures","15","633.7"
"15","Jul 2001","20th Century Fox","16","728.3"
"15","Jul 2001","Universal Pictures","12","1263.8"
"15","Jul 2001","Walt Disney Pictures","2","197.9"
"15","Jul 2001","Paramount Pictures","12","730.3"
"15","Jul 2001","Sony Pictures","0","0"
"15","Jul 2001","New Line Cinema","12","274.5"
"15","Jul 2001","Columbia Pictures","15","702.8"
"15","Jul 2001","Buena Vista","3","240.6"
"15","Jul 2001","Lionsgate Films","0","0"
"16","Aug 2001","Warner Bros. Pictures","17","665.0"
"16","Aug 2001","20th Century Fox","17","736.6"
"16","Aug 2001","Universal Pictures","14","1433.1"
"16","Aug 2001","Walt Disney Pictures","3","305.7"
"16","Aug 2001","Paramount Pictures","13","786.1"
"16","Aug 2001","Sony Pictures","0","0"
"16","Aug 2001","New Line Cinema","14","502.0"
"16","Aug 2001","Columbia Pictures","15","702.8"
"16","Aug 2001","Buena Vista","3","240.6"
"16","Aug 2001","Lionsgate Films","0","0"
"17","Sep 2001","Warner Bros. Pictures","17","665.0"
"17","Sep 2001","20th Century Fox","19","794.7"
"17","Sep 2001","Universal Pictures","15","1459.7"
"17","Sep 2001","Walt Disney Pictures","3","305.7"
"17","Sep 2001","Paramount Pictures","14","830.8"
"17","Sep 2001","Sony Pictures","0","0"
"17","Sep 2001","New Line Cinema","14","502.0"
"17","Sep 2001","Columbia Pictures","15","702.8"
"17","Sep 2001","Buena Vista","3","240.6"
"17","Sep 2001","Lionsgate Films","0","0"
"18","Oct 2001","Warner Bros. Pictures","19","782.7"
"18","Oct 2001","20th Century Fox","21","846.7"
"18","Oct 2001","Universal Pictures","16","1509.7"
"18","Oct 2001","Walt Disney Pictures","3","305.7"
"18","Oct 2001","Paramount Pictures","14","830.8"
"18","Oct 2001","Sony Pictures","0","0"
"18","Oct 2001","New Line Cinema","15","508.8"
"18","Oct 2001","Columbia Pictures","16","732.4"
"18","Oct 2001","Buena Vista","3","240.6"
"18","Oct 2001","Lionsgate Films","0","0"
"19","Nov 2001","Warner Bros. Pictures","21","1123.6"
"19","Nov 2001","20th Century Fox","24","1009.5"
"19","Nov 2001","Universal Pictures","17","1572.0"
"19","Nov 2001","Walt Disney Pictures","3","305.7"
"19","Nov 2001","Paramount Pictures","15","875.2"
"19","Nov 2001","Sony Pictures","0","0"
"19","Nov 2001","New Line Cinema","16","524.2"
"19","Nov 2001","Columbia Pictures","17","776.3"
"19","Nov 2001","Buena Vista","3","240.6"
"19","Nov 2001","Lionsgate Films","0","0"
"20","Dec 2001","Warner Bros. Pictures","22","1306.9"
"20","Dec 2001","20th Century Fox","24","1009.5"
"20","Dec 2001","Universal Pictures","19","1630.9"
"20","Dec 2001","Walt Disney Pictures","3","305.7"
"20","Dec 2001","Paramount Pictures","17","1056.6"
"20","Dec 2001","Sony Pictures","0","0"
"20","Dec 2001","New Line Cinema","17","838.0"
"20","Dec 2001","Columbia Pictures","19","872.4"
"20","Dec 2001","Buena Vista","3","240.6"
"20","Dec 2001","Lionsgate Films","0","0"
"21","Jan 2002","Warner Bros. Pictures","23","1348.0"
"21","Jan 2002","20th Century Fox","25","1025.4"
"21","Jan 2002","Universal Pictures","20","1801.6"
"21","Jan 2002","Walt Disney Pictures","3","305.7"
"21","Jan 2002","Paramount Pictures","18","1097.6"
"21","Jan 2002","Sony Pictures","1","108.6"
"21","Jan 2002","New Line Cinema","18","878.3"
"21","Jan 2002","Columbia Pictures","19","872.4"
"21","Jan 2002","Buena Vista","3","240.6"
"21","Jan 2002","Lionsgate Films","0","0"
"22","Feb 2002","Warner Bros. Pictures","25","1418.3"
"22","Feb 2002","20th Century Fox","25","1025.4"
"22","Feb 2002","Universal Pictures","22","1879.5"
"22","Feb 2002","Walt Disney Pictures","4","354.0"
"22","Feb 2002","Paramount Pictures","19","1134.7"
"22","Feb 2002","Sony Pictures","1","108.6"
"22","Feb 2002","New Line Cinema","19","949.3"
"22","Feb 2002","Columbia Pictures","19","872.4"
"22","Feb 2002","Buena Vista","3","240.6"
"22","Feb 2002","Lionsgate Films","0","0"
"23","Mar 2002","Warner Bros. Pictures","27","1464.5"
"23","Mar 2002","20th Century Fox","26","1201.6"
"23","Mar 2002","Universal Pictures","22","1879.5"
"23","Mar 2002","Walt Disney Pictures","4","354.0"
"23","Mar 2002","Paramount Pictures","21","1249.7"
"23","Mar 2002","Sony Pictures","2","203.9"
"23","Mar 2002","New Line Cinema","21","1056.4"
"23","Mar 2002","Columbia Pictures","19","872.4"
"23","Mar 2002","Buena Vista","3","240.6"
"23","Mar 2002","Lionsgate Films","0","0"
"24","Apr 2002","Warner Bros. Pictures","27","1464.5"
"24","Apr 2002","20th Century Fox","27","1216.0"
"24","Apr 2002","Universal Pictures","23","1969.8"
"24","Apr 2002","Walt Disney Pictures","4","354.0"
"24","Apr 2002","Paramount Pictures","22","1316.4"
"24","Apr 2002","Sony Pictures","2","203.9"
"24","Apr 2002","New Line Cinema","22","1069.0"
"24","Apr 2002","Columbia Pictures","20","896.8"
"24","Apr 2002","Buena Vista","3","240.6"
"24","Apr 2002","Lionsgate Films","0","0"
"25","May 2002","Warner Bros. Pictures","28","1531.7"
"25","May 2002","20th Century Fox","29","1579.0"
"25","May 2002","Universal Pictures","25","2048.6"
"25","May 2002","Walt Disney Pictures","4","354.0"
"25","May 2002","Paramount Pictures","23","1434.9"
"25","May 2002","Sony Pictures","3","243.1"
"25","May 2002","New Line Cinema","22","1069.0"
"25","May 2002","Columbia Pictures","21","925.8"
"25","May 2002","Buena Vista","3","240.6"
"25","May 2002","Lionsgate Films","0","0"
"26","Jun 2002","Warner Bros. Pictures","30","1754.4"
"26","Jun 2002","20th Century Fox","29","1579.0"
"26","Jun 2002","Universal Pictures","26","2170.1"
"26","Jun 2002","Walt Disney Pictures","4","354.0"
"26","Jun 2002","Paramount Pictures","24","1448.5"
"26","Jun 2002","Sony Pictures","3","243.1"
"26","Jun 2002","New Line Cinema","22","1069.0"
"26","Jun 2002","Columbia Pictures","22","1052.0"
"26","Jun 2002","Buena Vista","3","240.6"
"26","Jun 2002","Lionsgate Films","0","0"
"27","Jul 2002","Warner Bros. Pictures","31","1765.7"
"27","Jul 2002","20th Century Fox","30","1630.4"
"27","Jul 2002","Universal Pictures","26","2170.1"
"27","Jul 2002","Walt Disney Pictures","4","354.0"
"27","Jul 2002","Paramount Pictures","25","1483.6"
"27","Jul 2002","Sony Pictures","3","243.1"
"27","Jul 2002","New Line Cinema","23","1282.1"
"27","Jul 2002","Columbia Pictures","24","1307.1"
"27","Jul 2002","Buena Vista","3","240.6"
"27","Jul 2002","Lionsgate Films","0","0"
"28","Aug 2002","Warner Bros. Pictures","33","1804.9"
"28","Aug 2002","20th Century Fox","30","1630.4"
"28","Aug 2002","Universal Pictures","26","2170.1"
"28","Aug 2002","Walt Disney Pictures","4","354.0"
"28","Aug 2002","Paramount Pictures","27","1519.6"
"28","Aug 2002","Sony Pictures","3","243.1"
"28","Aug 2002","New Line Cinema","24","1291.6"
"28","Aug 2002","Columbia Pictures","26","1488.5"
"28","Aug 2002","Buena Vista","3","240.6"
"28","Aug 2002","Lionsgate Films","0","0"
"29","Sep 2002","Warner Bros. Pictures","35","1841.5"
"29","Sep 2002","20th Century Fox","31","1658.7"
"29","Sep 2002","Universal Pictures","26","2170.1"
"29","Sep 2002","Walt Disney Pictures","4","354.0"
"29","Sep 2002","Paramount Pictures","28","1537.8"
"29","Sep 2002","Sony Pictures","3","243.1"
"29","Sep 2002","New Line Cinema","24","1291.6"
"29","Sep 2002","Columbia Pictures","29","1510.1"
"29","Sep 2002","Buena Vista","3","240.6"
"29","Sep 2002","Lionsgate Films","0","0"
"30","Oct 2002","Warner Bros. Pictures","37","1887.9"
"30","Oct 2002","20th Century Fox","31","1658.7"
"30","Oct 2002","Universal Pictures","28","2268.3"
"30","Oct 2002","Walt Disney Pictures","4","354.0"
"30","Oct 2002","Paramount Pictures","30","1612.7"
"30","Oct 2002","Sony Pictures","3","243.1"
"30","Oct 2002","New Line Cinema","25","1303.1"
"30","Oct 2002","Columbia Pictures","29","1510.1"
"30","Oct 2002","Buena Vista","3","240.6"
"30","Oct 2002","Lionsgate Films","0","0"
"31","Nov 2002","Warner Bros. Pictures","38","2149.7"
"31","Nov 2002","20th Century Fox","32","1673.5"
"31","Nov 2002","Universal Pictures","30","2398.9"
"31","Nov 2002","Walt Disney Pictures","4","354.0"
"31","Nov 2002","Paramount Pictures","30","1612.7"
"31","Nov 2002","Sony Pictures","3","243.1"
"31","Nov 2002","New Line Cinema","26","1336.1"
"31","Nov 2002","Columbia Pictures","30","1527.9"
"31","Nov 2002","Buena Vista","3","240.6"
"31","Nov 2002","Lionsgate Films","0","0"
"32","Dec 2002","Warner Bros. Pictures","38","2149.7"
"32","Dec 2002","20th Century Fox","33","1729.7"
"32","Dec 2002","Universal Pictures","31","2416.4"
"32","Dec 2002","Walt Disney Pictures","4","354.0"
"32","Dec 2002","Paramount Pictures","32","1695.6"
"32","Dec 2002","Sony Pictures","3","243.1"
"32","Dec 2002","New Line Cinema","27","1676.6"
"32","Dec 2002","Columbia Pictures","31","1621.7"
"32","Dec 2002","Buena Vista","3","240.6"
"32","Dec 2002","Lionsgate Films","0","0"
"33","Jan 2003","Warner Bros. Pictures","38","2149.7"
"33","Jan 2003","20th Century Fox","33","1729.7"
"33","Jan 2003","Universal Pictures","31","2416.4"
"33","Jan 2003","Walt Disney Pictures","4","354.0"
"33","Jan 2003","Paramount Pictures","33","1705.8"
"33","Jan 2003","Sony Pictures","4","278.9"
"33","Jan 2003","New Line Cinema","29","1788.1"
"33","Jan 2003","Columbia Pictures","31","1621.7"
"33","Jan 2003","Buena Vista","3","240.6"
"33","Jan 2003","Lionsgate Films","0","0"
"34","Feb 2003","Warner Bros. Pictures","39","2162.6"
"34","Feb 2003","20th Century Fox","34","1832.2"
"34","Feb 2003","Universal Pictures","33","2438.9"
"34","Feb 2003","Walt Disney Pictures","4","354.0"
"34","Feb 2003","Paramount Pictures","34","1811.6"
"34","Feb 2003","Sony Pictures","4","278.9"
"34","Feb 2003","New Line Cinema","29","1788.1"
"34","Feb 2003","Columbia Pictures","32","1643.9"
"34","Feb 2003","Buena Vista","4","288.4"
"34","Feb 2003","Lionsgate Films","0","0"
"35","Mar 2003","Warner Bros. Pictures","40","2196.2"
"35","Mar 2003","20th Century Fox","34","1832.2"
"35","Mar 2003","Universal Pictures","33","2438.9"
"35","Mar 2003","Walt Disney Pictures","5","377.1"
"35","Mar 2003","Paramount Pictures","36","1876.8"
"35","Mar 2003","Sony Pictures","4","278.9"
"35","Mar 2003","New Line Cinema","30","1794.9"
"35","Mar 2003","Columbia Pictures","33","1687.3"
"35","Mar 2003","Buena Vista","4","288.4"
"35","Mar 2003","Lionsgate Films","0","0"
"36","Apr 2003","Warner Bros. Pictures","41","2232.2"
"36","Apr 2003","20th Century Fox","36","1884.8"
"36","Apr 2003","Universal Pictures","33","2438.9"
"36","Apr 2003","Walt Disney Pictures","5","377.1"
"36","Apr 2003","Paramount Pictures","36","1876.8"
"36","Apr 2003","Sony Pictures","4","278.9"
"36","Apr 2003","New Line Cinema","32","1824.8"
"36","Apr 2003","Columbia Pictures","34","1738.8"
"36","Apr 2003","Buena Vista","4","288.4"
"36","Apr 2003","Lionsgate Films","0","0"
"37","May 2003","Warner Bros. Pictures","43","2534.1"
"37","May 2003","20th Century Fox","37","2099.6"
"37","May 2003","Universal Pictures","34","2681.5"
"37","May 2003","Walt Disney Pictures","7","460.9"
"37","May 2003","Paramount Pictures","37","1982.8"
"37","May 2003","Sony Pictures","5","383.0"
"37","May 2003","New Line Cinema","32","1824.8"
"37","May 2003","Columbia Pictures","34","1738.8"
"37","May 2003","Buena Vista","4","288.4"
"37","May 2003","Lionsgate Films","0","0"
"38","Jun 2003","Warner Bros. Pictures","43","2534.1"
"38","Jun 2003","20th Century Fox","38","2104.2"
"38","Jun 2003","Universal Pictures","35","2813.6"
"38","Jun 2003","Walt Disney Pictures","7","460.9"
"38","Jun 2003","Paramount Pictures","38","2022.2"
"38","Jun 2003","Sony Pictures","5","383.0"
"38","Jun 2003","New Line Cinema","33","1850.9"
"38","Jun 2003","Columbia Pictures","36","1869.5"
"38","Jun 2003","Buena Vista","4","288.4"
"38","Jun 2003","Lionsgate Films","0","0"
"39","Jul 2003","Warner Bros. Pictures","44","2684.4"
"39","Jul 2003","20th Century Fox","39","2170.5"
"39","Jul 2003","Universal Pictures","37","2961.7"
"39","Jul 2003","Walt Disney Pictures","7","460.9"
"39","Jul 2003","Paramount Pictures","39","2087.9"
"39","Jul 2003","Sony Pictures","5","383.0"
"39","Jul 2003","New Line Cinema","34","1865.0"
"39","Jul 2003","Columbia Pictures","36","1869.5"
"39","Jul 2003","Buena Vista","4","288.4"
"39","Jul 2003","Lionsgate Films","0","0"
"40","Aug 2003","Warner Bros. Pictures","45","2689.5"
"40","Aug 2003","20th Century Fox","39","2170.5"
"40","Aug 2003","Universal Pictures","38","3066.1"
"40","Aug 2003","Walt Disney Pictures","7","460.9"
"40","Aug 2003","Paramount Pictures","40","2089.4"
"40","Aug 2003","Sony Pictures","5","383.0"
"40","Aug 2003","New Line Cinema","35","1947.2"
"40","Aug 2003","Columbia Pictures","38","2008.1"
"40","Aug 2003","Buena Vista","4","288.4"
"40","Aug 2003","Lionsgate Films","0","0"
"41","Sep 2003","Warner Bros. Pictures","46","2726.4"
"41","Sep 2003","20th Century Fox","40","2178.0"
"41","Sep 2003","Universal Pictures","39","3113.7"
"41","Sep 2003","Walt Disney Pictures","7","460.9"
"41","Sep 2003","Paramount Pictures","42","2142.3"
"41","Sep 2003","Sony Pictures","5","383.0"
"41","Sep 2003","New Line Cinema","36","1988.6"
"41","Sep 2003","Columbia Pictures","38","2008.1"
"41","Sep 2003","Buena Vista","4","288.4"
"41","Sep 2003","Lionsgate Films","0","0"
"42","Oct 2003","Warner Bros. Pictures","46","2726.4"
"42","Oct 2003","20th Century Fox","40","2178.0"
"42","Oct 2003","Universal Pictures","40","3148.8"
"42","Oct 2003","Walt Disney Pictures","7","460.9"
"42","Oct 2003","Paramount Pictures","44","2227.9"
"42","Oct 2003","Sony Pictures","6","387.7"
"42","Oct 2003","New Line Cinema","37","2068.7"
"42","Oct 2003","Columbia Pictures","38","2008.1"
"42","Oct 2003","Buena Vista","4","288.4"
"42","Oct 2003","Lionsgate Films","0","0"
"43","Nov 2003","Warner Bros. Pictures","49","2945.9"
"43","Nov 2003","20th Century Fox","41","2271.9"
"43","Nov 2003","Universal Pictures","42","3308.6"
"43","Nov 2003","Walt Disney Pictures","7","460.9"
"43","Nov 2003","Paramount Pictures","46","2254.9"
"43","Nov 2003","Sony Pictures","6","387.7"
"43","Nov 2003","New Line Cinema","38","2242.1"
"43","Nov 2003","Columbia Pictures","38","2008.1"
"43","Nov 2003","Buena Vista","4","288.4"
"43","Nov 2003","Lionsgate Films","0","0"
"44","Dec 2003","Warner Bros. Pictures","50","3057.0"
"44","Dec 2003","20th Century Fox","42","2410.4"
"44","Dec 2003","Universal Pictures","44","3387.2"
"44","Dec 2003","Walt Disney Pictures","7","460.9"
"44","Dec 2003","Paramount Pictures","47","2308.6"
"44","Dec 2003","Sony Pictures","7","512.3"
"44","Dec 2003","New Line Cinema","39","2619.1"
"44","Dec 2003","Columbia Pictures","38","2008.1"
"44","Dec 2003","Buena Vista","4","288.4"
"44","Dec 2003","Lionsgate Films","0","0"
"45","Jan 2004","Warner Bros. Pictures","52","3084.4"
"45","Jan 2004","20th Century Fox","42","2410.4"
"45","Jan 2004","Universal Pictures","46","3491.3"
"45","Jan 2004","Walt Disney Pictures","7","460.9"
"45","Jan 2004","Paramount Pictures","48","2318.9"
"45","Jan 2004","Sony Pictures","8","578.6"
"45","Jan 2004","New Line Cinema","40","2676.8"
"45","Jan 2004","Columbia Pictures","38","2008.1"
"45","Jan 2004","Buena Vista","4","288.4"
"45","Jan 2004","Lionsgate Films","0","0"
"46","Feb 2004","Warner Bros. Pictures","52","3084.4"
"46","Feb 2004","20th Century Fox","44","2441.1"
"46","Feb 2004","Universal Pictures","46","3491.3"
"46","Feb 2004","Walt Disney Pictures","7","460.9"
"46","Feb 2004","Paramount Pictures","50","2349.6"
"46","Feb 2004","Sony Pictures","9","699.4"
"46","Feb 2004","New Line Cinema","41","2677.1"
"46","Feb 2004","Columbia Pictures","38","2008.1"
"46","Feb 2004","Buena Vista","4","288.4"
"46","Feb 2004","Lionsgate Films","0","0"
"47","Mar 2004","Warner Bros. Pictures","56","3280.8"
"47","Mar 2004","20th Century Fox","44","2441.1"
"47","Mar 2004","Universal Pictures","47","3550.2"
"47","Mar 2004","Walt Disney Pictures","7","460.9"
"47","Mar 2004","Paramount Pictures","50","2349.6"
"47","Mar 2004","Sony Pictures","9","699.4"
"47","Mar 2004","New Line Cinema","41","2677.1"
"47","Mar 2004","Columbia Pictures","39","2055.9"
"47","Mar 2004","Buena Vista","4","288.4"
"47","Mar 2004","Lionsgate Films","0","0"
"48","Apr 2004","Warner Bros. Pictures","57","3283.6"
"48","Apr 2004","20th Century Fox","46","2533.3"
"48","Apr 2004","Universal Pictures","48","3558.2"
"48","Apr 2004","Walt Disney Pictures","8","510.8"
"48","Apr 2004","Paramount Pictures","52","2463.7"
"48","Apr 2004","Sony Pictures","11","814.4"
"48","Apr 2004","New Line Cinema","41","2677.1"
"48","Apr 2004","Columbia Pictures","39","2055.9"
"48","Apr 2004","Buena Vista","4","288.4"
"48","Apr 2004","Lionsgate Films","0","0"
